RMSE,MAE,R2,N,scenario_key,scenario_name,layer,model,step,step_min
441.83,289.35,0.9597,1743,N1_60m_only,N1: LiDAR 60m+历史功率（无SCADA）,1,XGBoost,1,10
637.62,425.82,0.9161,1743,N1_60m_only,N1: LiDAR 60m+历史功率（无SCADA）,1,LightGBM,2,20
628.24,419.43,0.9186,1743,N1_60m_only,N1: LiDAR 60m+历史功率（无SCADA）,1,XGBoost,2,20
765.51,524.8,0.8792,1743,N1_60m_only,N1: LiDAR 60m+历史功率（无SCADA）,1,LightGBM,3,30
745.42,507.11,0.8855,1743,N1_60m_only,N1: LiDAR 60m+历史功率（无SCADA）,1,XGBoost,3,30
971.91,691.48,0.8057,1743,N1_60m_only,N1: LiDAR 60m+历史功率（无SCADA）,1,LightGBM,6,60
968.03,691.67,0.8073,1743,N1_60m_only,N1: LiDAR 60m+历史功率（无SCADA）,1,XGBoost,6,60
452.2,298.18,0.9578,1743,N1_90m_only,N1: LiDAR 90m+历史功率（无SCADA）,1,LightGBM,1,10
440.73,289.67,0.9599,1743,N1_90m_only,N1: LiDAR 90m+历史功率（无SCADA）,1,XGBoost,1,10
638.75,427.26,0.9158,1743,N1_90m_only,N1: LiDAR 90m+历史功率（无SCADA）,1,LightGBM,2,20
631.49,421.16,0.9178,1743,N1_90m_only,N1: LiDAR 90m+历史功率（无SCADA）,1,XGBoost,2,20
755.7,515.31,0.8823,1743,N1_90m_only,N1: LiDAR 90m+历史功率（无SCADA）,1,LightGBM,3,30
757.52,515.02,0.8817,1743,N1_90m_only,N1: LiDAR 90m+历史功率（无SCADA）,1,XGBoost,3,30
979.14,693.03,0.8028,1743,N1_90m_only,N1: LiDAR 90m+历史功率（无SCADA）,1,LightGBM,6,60
973.87,697.7,0.8049,1743,N1_90m_only,N1: LiDAR 90m+历史功率（无SCADA）,1,XGBoost,6,60
447.71,294.07,0.9586,1743,N1_120m_only,N1: LiDAR 120m+历史功率（无SCADA）,1,LightGBM,1,10
441.17,286.01,0.9598,1743,N1_120m_only,N1: LiDAR 120m+历史功率（无SCADA）,1,XGBoost,1,10
637.09,424.18,0.9163,1743,N1_120m_only,N1: LiDAR 120m+历史功率（无SCADA）,1,LightGBM,2,20
622.58,418.15,0.9201,1743,N1_120m_only,N1: LiDAR 120m+历史功率（无SCADA）,1,XGBoost,2,20
758.73,518.0,0.8814,1743,N1_120m_only,N1: LiDAR 120m+历史功率（无SCADA）,1,LightGBM,3,30
743.58,506.99,0.8861,1743,N1_120m_only,N1: LiDAR 120m+历史功率（无SCADA）,1,XGBoost,3,30
974.14,696.93,0.8048,1743,N1_120m_only,N1: LiDAR 120m+历史功率（无SCADA）,1,LightGBM,6,60
970.13,689.97,0.8064,1743,N1_120m_only,N1: LiDAR 120m+历史功率（无SCADA）,1,XGBoost,6,60
442.03,289.99,0.9597,1743,N1_150m_only,N1: LiDAR 150m+历史功率（无SCADA）,1,LightGBM,1,10
438.63,286.2,0.9603,1743,N1_150m_only,N1: LiDAR 150m+历史功率（无SCADA）,1,XGBoost,1,10
633.36,422.38,0.9173,1743,N1_150m_only,N1: LiDAR 150m+历史功率（无SCADA）,1,LightGBM,2,20
624.21,416.23,0.9196,1743,N1_150m_only,N1: LiDAR 150m+历史功率（无SCADA）,1,XGBoost,2,20
753.31,511.66,0.8831,1743,N1_150m_only,N1: LiDAR 150m+历史功率（无SCADA）,1,LightGBM,3,30
750.96,510.22,0.8838,1743,N1_150m_only,N1: LiDAR 150m+历史功率（无SCADA）,1,XGBoost,3,30
966.09,686.39,0.808,1743,N1_150m_only,N1: LiDAR 150m+历史功率（无SCADA）,1,LightGBM,6,60
969.66,687.38,0.8066,1743,N1_150m_only,N1: LiDAR 150m+历史功率（无SCADA）,1,XGBoost,6,60
441.6,290.82,0.9597,1743,N1_180m_only,N1: LiDAR 180m+历史功率（无SCADA）,1,LightGBM,1,10
441.33,287.81,0.9598,1743,N1_180m_only,N1: LiDAR 180m+历史功率（无SCADA）,1,XGBoost,1,10
636.58,426.55,0.9164,1743,N1_180m_only,N1: LiDAR 180m+历史功率（无SCADA）,1,LightGBM,2,20
627.7,423.65,0.9187,1743,N1_180m_only,N1: LiDAR 180m+历史功率（无SCADA）,1,XGBoost,2,20
